"species","decimalLongitude","decimalLatitude"
"Salminus_brasiliensis",-44.728056,-17.437222
"Salminus_brasiliensis",-54.240556,-24.383333
"Salminus_brasiliensis",-55.9,-16.333333
"Salminus_brasiliensis",-55.940556,-15.973889
"Salminus_brasiliensis",-56.355161,-21.395459
"Salminus_brasiliensis",-56.763056,-21.681389
"Salminus_brasiliensis",-41.333056,-21.74
"Salminus_brasiliensis",-51.844722,-23.326667
"Salminus_brasiliensis",-56.760556,-20.671667
"Salminus_brasiliensis",-61.384259,-24.734021
"Salminus_brasiliensis",-53.533333,-22.8
"Salminus_brasiliensis",-41.022222,-21.635833
"Salminus_brasiliensis",-56.253611,-14.696111
"Salminus_brasiliensis",-60.639444,-32.866667
"Salminus_brasiliensis",-57.224722,-15.650833
"Salminus_brasiliensis",-53.413889,-15.581667
"Salminus_brasiliensis",-47.637778,-18.129444
"Salminus_brasiliensis",-40.630556,-19.539167
"Salminus_brasiliensis",-55.774444,-14.872778
"Salminus_brasiliensis",-56.166667,-21.166667
"Salminus_brasiliensis",-53.413889,-15.581667
"Salminus_brasiliensis",-55.940556,-15.973889
"Salminus_brasiliensis",-55.7,-14.95
"Salminus_brasiliensis",-55.940556,-15.973889
"Salminus_brasiliensis",-47.368,-21.927
"Salminus_brasiliensis",-47.368,-21.927
"Salminus_brasiliensis",-47.368,-21.927
"Salminus_brasiliensis",-47.368,-21.927
"Salminus_brasiliensis",-47.368,-21.927
"Salminus_brasiliensis",-47.368,-21.927
"Salminus_brasiliensis",-47.368,-21.927
"Salminus_brasiliensis",-47.37,-21.93
"Salminus_brasiliensis",-47.37,-21.93
"Salminus_brasiliensis",-47.37,-21.93
"Salminus_brasiliensis",-47.37,-21.93
"Salminus_brasiliensis",-47.37,-21.93
"Salminus_brasiliensis",-47.37,-21.93
"Salminus_brasiliensis",-47.37,-21.93
"Salminus_brasiliensis",-55.619167,-14.831667
"Salminus_brasiliensis",-48.548333,-17.726944
"Salminus_brasiliensis",-48.548333,-17.726944
"Salminus_brasiliensis",-48.548333,-17.726944
"Salminus_brasiliensis",-56.3411,-19.5981
"Salminus_brasiliensis",-42.758333,-19.0125
"Salminus_brasiliensis",0,0
"Salminus_brasiliensis",0,0
"Salminus_brasiliensis",-60.22466,-33.316631
"Salminus_brasiliensis",-51.014444,-23.3525
"Salminus_brasiliensis",-51.014444,-23.3525
"Salminus_brasiliensis",-57.933,-20.8
"Salminus_brasiliensis",-57.9167,-21.45
"Salminus_brasiliensis",-57.95,-20.7667
"Salminus_brasiliensis",-57.9833,-20.6833
"Salminus_brasiliensis",-48.533333,-17.883333
"Salminus_brasiliensis",-50.951944,-23.024444
"Salminus_brasiliensis",-50.951944,-23.024444
"Salminus_brasiliensis",-60.194393,-33.312572
"Salminus_brasiliensis",-60.194393,-33.312572
"Salminus_brasiliensis",-49.78977,-21.31508
"Salminus_brasiliensis",-57.011667,-19.576944
"Salminus_brasiliensis",-56.979167,-19.609444
"Salminus_brasiliensis",-60.194393,-33.312572
"Salminus_brasiliensis",-57.019444,-19.575833
"Salminus_brasiliensis",-53.266944,-22.771944
"Salminus_brasiliensis",-57.815556,-19.22
"Salminus_brasiliensis",-41.133333,-21.683333
"Salminus_brasiliensis",-53.266667,-22.75
"Salminus_brasiliensis",-54.333333,-24.833333
"Salminus_brasiliensis",-54.25,-24.05
"Salminus_brasiliensis",-53.316667,-24.183333
"Salminus_brasiliensis",-53.283333,-22.75
"Salminus_brasiliensis",-53.266667,-22.75
"Salminus_brasiliensis",-63.47,-21.28
"Salminus_brasiliensis",-47.583333,-18.216667
"Salminus_brasiliensis",-57.033333,-19.253333
"Salminus_brasiliensis",-41.757778,-21.643056
"Salminus_brasiliensis",-56.05,-12.883333
"Salminus_brasiliensis",-56.058333,-15.875
"Salminus_brasiliensis",-56.058333,-15.875
"Salminus_brasiliensis",-77.641159,-4.434018
"Salminus_brasiliensis",-77.569491,-4.461572
"Salminus_brasiliensis",-77.641159,-4.434018
"Salminus_brasiliensis",-77.621933,-4.436519
"Salminus_brasiliensis",-77.641159,-4.434018
"Salminus_brasiliensis",-56,-15.916667
"Salminus_brasiliensis",-54.15,-17.2
"Salminus_brasiliensis",-57.622334,-25.299257
"Salminus_brasiliensis",-54.83,-26.663333
"Salminus_brasiliensis",-56.55,-23.908333
"Salminus_brasiliensis",-56.79,-27.408333
"Salminus_brasiliensis",-52.55,-25.293333
"Salminus_brasiliensis",-56.85,-16.75
"Salminus_brasiliensis",-54.266667,-24.083333
"Salminus_brasiliensis",-54.266667,-24.083333
"Salminus_brasiliensis",-54.266667,-24.083333
"Salminus_brasiliensis",-54.266667,-24.083333
"Salminus_brasiliensis",-54.266667,-24.083333
"Salminus_brasiliensis",-54.433333,-25.116667
"Salminus_brasiliensis",-54.266667,-24.083333
"Salminus_brasiliensis",-54.266667,-24.083333
"Salminus_brasiliensis",-47.368889,-21.925833
"Salminus_brasiliensis",-54.266667,-24.083333
"Salminus_brasiliensis",-54.316667,-24.166667
"Salminus_brasiliensis",-54.266667,-24.066667
"Salminus_brasiliensis",-54.266667,-24.066667
"Salminus_brasiliensis",-55.95,-16.183333
"Salminus_brasiliensis",-48.561667,-18.328889
"Salminus_brasiliensis",-49.203056,-18.4
"Salminus_brasiliensis",-44.6,-21.316667
"Salminus_brasiliensis",-44.6,-21.316667
"Salminus_brasiliensis",-47.383333,-21.916667
"Salminus_brasiliensis",-53.215278,-17.314722
"Salminus_brasiliensis",-50.083333,-21.4
"Salminus_brasiliensis",-47.373207,-21.927366
"Salminus_brasiliensis",-47.373207,-21.927366
"Salminus_brasiliensis",-56.083333,-15.866667
"Salminus_brasiliensis",-51.116667,-20.25
